tpage_name	gene_symbol
TMEM126A	TMEM126A
FYTTD1	FYTTD1
WDR83	WDR83
UQCC2	UQCC2
ACSS1	ACSS1
KIRREL3	KIRREL3
GLIS2	GLIS2
CREB3L3	CREB3L3
USMG5	USMG5
KCNK17	KCNK17
AQP10	AQP10
UNC5A	UNC5A
TRIM47	TRIM47
SLC25A46	SLC25A46
ATPAF2	ATPAF2
BOC_(gene)	BOC
CENPL	CENPL
CHMP7	CHMP7
MRRF	MRRF
DNER	DNER
UBE2Q2	UBE2Q2
DMKN	DMKN
MMGT1	MMGT1
SCAMP4	SCAMP4
HELQ	HELQ
ESCO1	ESCO1
LENG8	LENG8
OSBPL7	OSBPL7
C1QTNF6	C1QTNF6
ATG4A	ATG4A
BATF2	BATF2
THEM4	THEM4
TRIM6	TRIM6
UBE2J2	UBE2J2
ZFYVE27	ZFYVE27
MMP21	MMP21
SLC51B	SLC51B
WDR81	WDR81
MIEF2	MIEF2
RNF19B	RNF19B
CST9L	CST9L
ZFAND2B	ZFAND2B
ADAD1	ADAD1
NDUFAF6	NDUFAF6
ABRA_(gene)	ABRA
Grb2_associated_binding_protein_3	GAB3
CBLN4	CBLN4
HECTD2	HECTD2
CACUL1	CACUL1
Goosecoid_protein	GSC
10-Sep	10-Sep
ZNF827	ZNF827
JAKMIP1	JAKMIP1
FAM122B	FAM122B
NOP9	NOP9
DEDD2	DEDD2
MMAA	MMAA
HTR3C	HTR3C
SCAMP5	SCAMP5
ZFC3H1	ZFC3H1
NLRP11	NLRP11
ORAOV1	ORAOV1
ZUFSP	ZUFSP
C6orf89	C6orf89
LEMD2	LEMD2
LRWD1	LRWD1
KCTD20	KCTD20
CTAG1A	CTAG1A
CDY1B	CDY1B
LCLAT1	LCLAT1
ZDHHC20	ZDHHC20
TAC4	TAC4
ELMOD2	ELMOD2
NUTM1	NUTM1
TAS2R43	TAS2R43
STEAP2	STEAP2
POC1B	POC1B
MKX	MKX
TSEN54_(gene)	TSEN54
IFNE	IFNE
ANKRD13D	ANKRD13D
Relaxin/insulin-like_family_peptide_receptor_4	RXFP4
BRINP3	BRINP3
R-spondin_2	RSPO2
Adenosine_3'-phospho_5'-phosphosulfate_transporter_1	SLC35B2
NIPAL4	NIPAL4
CEP85L	CEP85L
FAM21A	FAM21A
SNX19	SNX19
MED11	MED11
MIRLET7A2	MIRLET7A2
MIRLET7I	MIRLET7I
MIR199B	MIR199B
MIR211	MIR211
MIR296	MIR296
MIR9-3	MIR9-3
PGAM4	PGAM4
MIR342	MIR342
MIR372	MIR372
PALM2-AKAP2	PALM2-AKAP2
TRIM72	TRIM72
BOLA2	BOLA2
LOC643387	LOC643387
MIR675	MIR675
PLA2G4B	PLA2G4B
AK6	AK6
MYRF	MYRF
S100G	S100G
Calcyphosin	CAPS
CDS1_(gene)	CDS1
CEACAM7	CEACAM7
CHI3L2	CHI3L2
COX7A1	COX7A1
COX11	COX11
DNAH9	DNAH9
EML1	EML1
FOXE3	FOXE3
GPR34	GPR34
GUCA1B	GUCA1B
INSL4	INSL4
IPP_(gene)	IPP
KCND1	KCND1
LAIR2	LAIR2
LIM2	LIM2
MAGEA9	MAGEA9
MAGEB1	MAGEB1
MLLT6	MLLT6
MYBPC2	MYBPC2
NELL2	NELL2
NIT1	NIT1
NKTR	NKTR
NKX6-1	NKX6-1
SERPINI2	SERPINI2
PIGC	PIGC
PIGH	PIGH
PLXNB3	PLXNB3
POU6F1	POU6F1
PSG7	PSG7
RLF_(gene)	RLF
RSC1A1	RSC1A1
ST3GAL2	ST3GAL2
Excitatory_amino_acid_transporter_5	SLC1A7
Sodium/hydrogen_exchanger_5	SLC9A5
CAPN15	CAPN15
SSX5	SSX5
SYCP1	SYCP1
TAL2	TAL2
TCTA	TCTA
TM7SF2	TM7SF2
TNNC2	TNNC2
TPTE	TPTE
TSSC1	TSSC1
ZNF22	ZNF22
ZNF43	ZNF43
RASSF7	RASSF7
ZNF239	ZNF239
DGCR6	DGCR6
ZNF282	ZNF282
DOC2B	DOC2B
PPFIA3	PPFIA3
B3GALT1	B3GALT1
FBP2	FBP2
DLEU2	DLEU2
BAIAP3	BAIAP3
PSTPIP2	PSTPIP2
Y+L_amino_acid_transporter_2	SLC7A6
NEURL1	NEURL1
SLC24A1	SLC24A1
NDST3	NDST3
LHX2	LHX2
ITGBL1	ITGBL1
Electroneutral_sodium_bicarbonate_exchanger_1	SLC4A8
ENTPD4	ENTPD4
FEZ2	FEZ2
RALGPS1	RALGPS1
TTC37	TTC37
TMEM63A	TMEM63A
ZNF536	ZNF536
RIPOR2	FAM65B
RNF144A	RNF144A
TRIM14	TRIM14
C2CD5	C2CD5
LRIG2	LRIG2
KLHL21	KLHL21
TMCC2	TMCC2
LPGAT1	LPGAT1
HS3ST2	HS3ST2
CLEC2B	CLEC2B
RCE1	RCE1
INSL5	INSL5
HMGXB4	HMGXB4
CST8_(gene)	CST8
RWDD2B	RWDD2B
TSSC4	TSSC4
FRY_(gene)	FRY
GDF11	GDF11
PCGF3	PCGF3
WARS2	WARS2
CDC42EP2	CDC42EP2
Olfactomedin_1	OLFM1
ZER1	ZER1
ZNHIT1	ZNHIT1
SIX2	SIX2
SLC22A7	SLC22A7
ARID5A	ARID5A
APOBEC2	APOBEC2
SLC27A3	SLC27A3
SNRNP27	SNRNP27
RBPMS	RBPMS
ADAMTS7	ADAMTS7
TREH	TREH
PTENP1	PTENP1
FZD10	FZD10
NRM_(gene)	NRM
Nav1.9	SCN11A
LYPLA2	LYPLA2
MTF2	MTF2
FNDC3A	FNDC3A
ABLIM3	ABLIM3
SEPHS2	SEPHS2
MAST1	MAST1
ZSWIM8	ZSWIM8
CMTR1	CMTR1
DCUN1D4	DCUN1D4
TBC1D9	TBC1D9
PLCL2	PLCL2
MTUS2	MTUS2
ATMIN	ATMIN
KHNYN	KHNYN
HAUS5	HAUS5
MED13L	MED13L
ABCA6	ABCA6
ACAP2	ACAP2
LILRA4	LILRA4
KCNE5	KCNE1L
HYPK	HYPK
RAB26	RAB26
ARMC8	ARMC8
POC1A	POC1A
ZDHHC5	ZDHHC5
ZNF521	ZNF521
NIPSNAP3A	NIPSNAP3A
NECAP1	NECAP1
ZZZ3	ZZZ3
RPAP1	RPAP1
LRP10	LRP10
ACOT11	ACOT11
IPCEF1	IPCEF1
PPP1R14B	PPP1R14B
MYEOV	MYEOV
MRPL46	MRPL46
DIEXF	DIEXF
MTBP	MTBP
ATP5S	ATP5S
PRELID1	PRELID1
Hydroxycarboxylic_acid_receptor_1	HCAR1
RAB30	RAB30
TOR1B	TOR1B
SPCS1	SPCS1
TMEM230	TMEM230
C6orf15	C6orf15
Sperm_protein_associated_with_the_nucleus,_X-linked,_family_member_A1	SPANXA1
ANO7	ANO7
THAP4	THAP4
RMDN1	RMDN1
AADAT	AADAT
TACO1	TACO1
ZNF219	ZNF219
2-Mar	2-Mar
MRPL30	MRPL30
GMPR2	GMPR2
REEP2	REEP2
ARL6IP4	ARL6IP4
SNX7	SNX7
Hippocalcin-like_protein_4	HPCAL4
ISYNA1	ISYNA1
TRIAP1	TRIAP1
JKAMP	JKAMP
PEX5L	PEX5L
LIPT1	LIPT1
TAF9B	TAF9B
YPEL5	YPEL5
STYXL1	STYXL1
EMCN	EMCN
ATP8A2	ATP8A2
Hydroxyacid_oxidase_(glycolate_oxidase)_1	HAO1
FBXO42	FBXO42
USP53	USP53
RSBN1	RSBN1
HYDIN	HYDIN
SUHW4	ZNF280D
QRICH1	QRICH1
TTC19	TTC19
CYP2W1	CYP2W1
FAM208B	FAM208B
KANSL2	KANSL2
COMMD4	COMMD4
MRPL16	MRPL16
COMMD8	COMMD8
TTC12	TTC12
C20orf27	C20orf27
TESC_(gene)	TESC
PARPBP	PARPBP
HEATR3	HEATR3
NOL8	NOL8
OXR1	OXR1
TAPBPL	TAPBPL
CXorf57	CXorf57
CCDC186	CCDC186
LARP1B	LARP1B
ANKZF1	ANKZF1
CENPQ	CENPQ
INTS10	INTS10
KLHL11	KLHL11
DPPA4	DPPA4
LEPREL1	LEPREL1
USP40	USP40
PageDoesNotExist	RFK
ZNF331	ZNF331
ETNK1	ETNK1
PLXNA3	PLXNA3
PRR5	PRR5
ASAP3	ASAP3
TASP1	TASP1
DOK4	DOK4
DHX32	DHX32
PRR11	PRR11
MBNL3	MBNL3
ST6GALNAC1	ST6GALNAC1
PLGRKT	PLGRKT
CBWD1	CBWD1
GABRQ	GABRQ
ZNF395	ZNF395
LIN37	LIN37
PCDHA6	PCDHA6
NDNL2	NDNL2
MTFR1L	MTFR1L
SLC2A4RG	SLC2A4RG
SPIRE1	SPIRE1
STARD7	STARD7
MAP3K7CL	MAP3K7CL
Olfactomedin-like_3	OLFML3
PRTFDC1	PRTFDC1
SLC12A9	SLC12A9
YAE1D1	YAE1D1
CHRNA10	CHRNA10
PLSCR4	PLSCR4
PARP11	PARP11
LPAR5	LPAR5
PHTF2	PHTF2
Zinc_transporter_ZIP10	SLC39A10
SNX14	SNX14
CSRP2BP	CSRP2BP
SENP7	SENP7
ABHD6	ABHD6
ZNF512B	ZNF512B
PLEKHG1	PLEKHG1
NLGN2	NLGN2
BEGAIN	BEGAIN
CAMSAP3	CAMSAP3
KIAA1549	KIAA1549
RBAK	RBAK
RAB40C	RAB40C
C6orf47	C6orf47
TRAPPC1	TRAPPC1
ZNF71	ZNF71
DLGAP3	DLGAP3
RRAGD	RRAGD
Autophagy-related_protein_101	ATG101
ZFAND3	ZFAND3
PIEZO2	PIEZO2
FAM111A	FAM111A
PCIF1	PCIF1
SMOC2	SMOC2
POPDC3	POPDC3
DNAJC1	DNAJC1
TOR3A	TOR3A
RHBDF1	RHBDF1
ARHGAP9	ARHGAP9
CHST8	CHST8
MTMR14	MTMR14
SUSD1	SUSD1
NARFL	NARFL
GIGYF1	GIGYF1
PLEKHG2	PLEKHG2
PCDH20	PCDH20
GPBP1	GPBP1
CDK15	CDK15
CPLANE1	C5orf42
ZNF649	ZNF649
COLEC11	COLEC11
CENPM	CENPM
NABP2	NABP2
DSCC1	DSCC1
TMUB2	TMUB2
APOO	APOO
CCDC28B	CCDC28B
CRELD2	CRELD2
DCAF10	DCAF10
HAUS3	HAUS3
EPS8L3	EPS8L3
DHX40	DHX40
E2F8	E2F8
ZNF385D	ZNF385D
NAA40	NAA40
NEK11	NEK11
DCAKD	DCAKD
WDR76	WDR76
ATAT1	ATAT1
ESRP2	ESRP2
SEMA6D	SEMA6D
PGAP1	PGAP1
BICC1	BICC1
CCDC33	CCDC33
TRIM46	TRIM46
RPF1	RPF1
TTI2	TTI2
NUBPL	NUBPL
C16orf70	C16orf70
EFHD1	EFHD1
TRABD	TRABD
FLAD1	FLAD1
SPHKAP	SPHKAP
ZKSCAN3	ZKSCAN3
PABPC1L	PABPC1L
BPIFB2	BPIFB2
REEP4	REEP4
PBX4	PBX4
ACAD10	ACAD10
B9D2	B9D2
VWA9	VWA9
URM1	URM1
TSPAN14	TSPAN14
TSC22D4	TSC22D4
CCNL2	CCNL2
PPP1R14C	PPP1R14C
NETO1	NETO1
SFXN3	SFXN3
FAM167A	FAM167A
CALN1	CALN1
SH3BGRL2	SH3BGRL2
Espin_(protein)	ESPN
INHBE	INHBE
EMILIN2	EMILIN2
HORMAD1	HORMAD1
ENKD1	ENKD1
SETD3_(gene)	SETD3
RHBDD1	RHBDD1
SYT3	SYT3
RPAIN	RPAIN
FAM120B	FAM120B
DCTN5	DCTN5
RHOXF2	RHOXF2
TMEM185A	TMEM185A
ZNF469	ZNF469
KIF2B	KIF2B
HES7	HES7
GPT2_(gene)	GPT2
CRACR2A	CRACR2A
SUV420H2	SUV420H2
NFATC2IP	NFATC2IP
PPP1R15B	PPP1R15B
HSH2D	HSH2D
Latvijas_Televīzija	LTV1
SERAC1	SERAC1
Cingulin-like_protein_1	CGNL1
ARHGAP19	ARHGAP19
ATCAY	ATCAY
PAQR8	PAQR8
ZCCHC3	ZCCHC3
WDR34	WDR34
FAM110B	FAM110B
BTF3L4	BTF3L4
MYADM	MYADM
MARVELD3	MARVELD3
CDHR1	CDHR1
PGAP3	PGAP3
HAUS8	HAUS8
TBCK	TBCK
ARHGAP18	ARHGAP18
ORMDL1	ORMDL1
CEP41	CEP41
MRAP2	MRAP2
PALM2	PALM2
CSMD3	CSMD3
SLC25A25	SLC25A25
ELFN2	ELFN2
KLHL29	KLHL29
TMEM123	TMEM123
FBXO17	FBXO17
LRRC42	LRRC42
GBP5	GBP5
ARHGAP33	ARHGAP33
RMI2	RMI2
CMTM5	CMTM5
HSPA12B	HSPA12B
MUCL1	MUCL1
KRT74	KRT74
Sodium/potassium/calcium_exchanger_4	SLC24A4
EARS2	EARS2
ZPBP2	ZPBP2
GIPC3	GIPC3
KLF17	KLF17
MRPL55	MRPL55
TSHZ2	TSHZ2
SCLT1	SCLT1
LSM11	LSM11
RAET1E	RAET1E
NOBOX	NOBOX
ASB7	ASB7
TRIM69	TRIM69
KRT72	KRT72
DEFB127	DEFB127
SYT9	SYT9
Mucin	MUC15
LACC1	LACC1
PWAR1	PWAR1
BEAN1	BEAN1
Interleukin_34	IL34
C19orf25	C19orf25
CREB3L4	CREB3L4
BROX	BROX
C1orf52	C1orf52
BNIPL	BNIPL
Apoptosis-inducing_factor,_mitochondria-associated_3	AIFM3
KLHL23	KLHL23
CMTM8	CMTM8
AGR3	AGR3
SLFN5	SLFN5
DENND1B	DENND1B
PAQR7	PAQR7
XIRP1	XIRP1
PAPD4	PAPD4
ZNF92	ZNF92
PTCRA	PTCRA
SDR16C5	SDR16C5
SPAG17	SPAG17
SLC51A	SLC51A
CEP112	CEP112
DNAH12	DNAH12
SMIM14	SMIM14
DLEU7	DLEU7
ARL5B	ARL5B
CCZ1B	CCZ1B
ATP6V0D2	ATP6V0D2
PELI3	PELI3
Epigen	EPGN
Collagen,_type_VI,_alpha_5	COL6A5
ST6GALNAC3	ST6GALNAC3
BOD1L1	BOD1L1
ANKRD52	ANKRD52
HECTD4	HECTD4
CEP170B	CEP170B
NPW	NPW
INO80E	INO80E
KCTD1	KCTD1
IZUMO1	IZUMO1
HTR3E	HTR3E
TCAIM	TCAIM
SCARA5	SCARA5
ATP11C	ATP11C
DHRS4L2	DHRS4L2
NLRP10	NLRP10
KRT79	KRT79
ENPP7	ENPP7
R-spondin_4	RSPO4
SKA2	SKA2
SFT2D2	SFT2D2
Interferon-induced_transmembrane_protein_5	IFITM5
C2CD4B	C2CD4B
PCNXL3	PCNXL3
RGPD1	RGPD1
CENPP	CENPP
MIR134	MIR134
MIR148B	MIR148B
MIR20B	MIR20B
ECSCR	ECSCR
SCX_(gene)	SCX
POTEJ	POTEJ
MIR574	MIR574
International_Symposium_on_Physical_Design	ISPD
POM121C	POM121C
VTRNA2-1	VTRNA2-1
MIR365A	MIR365A
TSTD1	TSTD1
ALDH3B2	ALDH3B2
AMELY	AMELY
Shroom_family_member_2	SHROOM2
ARHGDIG	ARHGDIG
Bone_morphogenetic_protein_8B	BMP8B
ZNHIT2	ZNHIT2
MS4A3	MS4A3
CDH7	CDH7
COX7B	COX7B
CPB1	CPB1
CPN2	CPN2
CRYBB3	CRYBB3
CTRB1	CTRB1
CYP2A7	CYP2A7
CYP8B1	CYP8B1
SARDH	SARDH
DPH2	DPH2
DPYS	DPYS
CELSR3	CELSR3
EXTL2	EXTL2
CD64_(biology)	FCGR1B
ADAM2	ADAM2
GBAP1	GBAP1
GJB5	GJB5
Neuropeptides_B/W_receptor_1	NPBWR1
HLA-H	HLA-H
TLX2	TLX2
AGFG2	AGFG2
KCNG1	KCNG1
KRT84	KRT84
Ladinin_1	LAD1
LRCH4	LRCH4
SMCP	SMCP
MYBL1	MYBL1
NDUFA3	NDUFA3
NINJ2	NINJ2
NPTX1	NPTX1
PDE6H	PDE6H
PDGFRL	PDGFRL
PLGLB2	PLGLB2
PRB4	PRB4
PSG3	PSG3
PSG4	PSG4
PSG6	PSG6
PTPRCAP	PTPRCAP
RBMS2	RBMS2
RGS13	RGS13
S100A5	S100A5
SYT4	SYT4
ZNF354A	ZNF354A
TCP11	TCP11
Trichohyalin	TCHH
TLL2	TLL2
WRB_(gene)	WRB
ZNF3	ZNF3
ZNF711	ZNF711
ZNF16	ZNF16
ZNF91	ZNF91
SLC30A2	SLC30A2
DPF3	DPF3
P3_protein	SLC10A3
SERF1A	SERF1A
UTF1	UTF1
BCAS1	BCAS1
PRPF18	PRPF18
Phosphatidic_acid_phosphatase_2c	PPAP2C
DYRK4	DYRK4
CDKL1	CDKL1
FGF16	FGF16
TMEM11	TMEM11
MTMR4	MTMR4
NEMF_(gene)	NEMF
Myomesin-2	MYOM2
MAP3K13	MAP3K13
TIAF1	TIAF1
GCNT3	GCNT3
STK17A	STK17A
KCNB2	KCNB2
CPNE6	CPNE6
CDY2A	CDY2A
TP53I11	TP53I11
MTFR1	MTFR1
ZNF516	ZNF516
KIAA0391	KIAA0391
RAPGEF5	RAPGEF5
TM9SF4	TM9SF4
SERTAD2	SERTAD2
CTIF	CTIF
EPM2AIP1	EPM2AIP1
ARHGAP44	ARHGAP44
ATP2C2	ATP2C2
XYLB	XYLB
CRYZL1	CRYZL1
HS3ST3A1	HS3ST3A1
TROAP	TROAP
UST_(gene)	UST
CTDSP2	CTDSP2
DHRS9	DHRS9
TSHZ1	TSHZ1
CD96	CD96
RCAN2	RCAN2
CWC27	CWC27
DLEU1	DLEU1
DSCR3	DSCR3
CNPY2	CNPY2
NPM2	NPM2
DPYSL4	DPYSL4
LEPREL4	LEPREL4
SCGB1D2	SCGB1D2
ACTL7A	ACTL7A
CCNI_(gene)	CCNI
SDS_(gene)	SDS
TMSB15A	TMSB15A
VAX1	VAX1
PTPN21	PTPN21
PRDM4	PRDM4
RCAN3	RCAN3
ADAMTS6	ADAMTS6
ZNF277	ZNF277
CYP4F8	CYP4F8
Neuroligin	NLGN4Y
MON1B	MON1B
EFR3B	EFR3B
MYH15	MYH15
CLUAP1	CLUAP1
TRIM35	TRIM35
SIPA1L3	SIPA1L3
COLGALT2	COLGALT2
ZZEF1	ZZEF1
SNX13	SNX13
SLC35D1	SLC35D1
NBEAL2	NBEAL2
EXOC6B	EXOC6B
POFUT2	POFUT2
DMXL2	DMXL2
CUX2	CUX2
SZT2	SZT2
KLHDC2	KLHDC2
PHLDA3	PHLDA3
Carbonic_anhydrase_14	CA14
ZKSCAN5	ZKSCAN5
Kosovo_Police	SHPK
DSTYK	DSTYK
BRI3	BRI3
TTLL1	TTLL1
METTL7A	METTL7A
IFFO1	IFFO1
ANAPC15	ANAPC15
SYF2	SYF2
NGDN	NGDN
ABHD12	ABHD12
TCTN3	TCTN3
MTG2	MTG2
PCDHB5	PCDHB5
Phosphatidylinositol_transfer_protein,_cytoplasmic_1	PITPNC1
FBXL4	FBXL4
FBXO8	FBXO8
GBGT1	GBGT1
PLEK2	PLEK2
Fetuin-B	FETUB
ACAD8	ACAD8
CACNG4	CACNG4
ZBTB11	ZBTB11
TJP3	TJP3
CSDC2	CSDC2
TINAG	TINAG
DESI1	DESI1
PPP2R3B	PPP2R3B
SNX24	SNX24
SLC43A3	SLC43A3
CNIH4	CNIH4
RANGRF	RANGRF
DNAJC15	DNAJC15
CFAP20	CFAP20
ABT1	ABT1
TFCP2L1	TFCP2L1
DSE_(gene)	DSE
FTSJ2	FTSJ2
CDIP1	CDIP1
Zinc_transporter_ZIP3	SLC39A3
BAZ2B	BAZ2B
Retinal_homeobox_protein_Rx	RAX
TAS2R8	TAS2R8
TAS2R10	TAS2R10
TRAT1	TRAT1
CCDC53	CCDC53
BOLA1	BOLA1
MECR	MECR
COQ4	COQ4
ZNF639	ZNF639
TMEM216	TMEM216
Gerakan_Mujahidin_Islam_Patani	GMIP
ECSIT	ECSIT
THEM6	THEM6
WT1-AS	WT1-AS
POP5	POP5
COMMD10	COMMD10
C9orf114	C9orf114
ETV7	ETV7
Dom_Sicily	SCLY
VPS54	VPS54
SELT	SELT
POLR3K	POLR3K
TPCN1	TPCN1
KCNK10	KCNK10
YIPF1	YIPF1
SPIN2A	SPIN2A
MTRF1L	MTRF1L
FAM193B	FAM193B
MTMR12	MTMR12
LEPROT	LEPROT
KLHDC4	KLHDC4
PPP1R12C	PPP1R12C
Bestrophin-2	BEST2
DCAF16	DCAF16
ZCCHC2	ZCCHC2
LAX1	LAX1
SPDL1	SPDL1
LIME1	LIME1
HAUS4	HAUS4
ODAM_(gene)	ODAM
GEMIN8	GEMIN8
C4orf27	C4orf27
CDCA4	CDCA4
EPN3	EPN3
SLC38A4	SLC38A4
MED9	MED9
GPATCH1	GPATCH1
BSDC1	BSDC1
AKIRIN2	AKIRIN2
VPS13D	VPS13D
GOLPH3L	GOLPH3L
TMEM39A	TMEM39A
WDR41	WDR41
CWF19L1	CWF19L1
C5orf22	C5orf22
BLOC1S4	BLOC1S4
TCP11L1	TCP11L1
TMEM176A	TMEM176A
DNAJA4	DNAJA4
CHST12	CHST12
SLC30A10	SLC30A10
MIOX	MIOX
CCDC132	CCDC132
THUMPD1	THUMPD1
DENND4C	DENND4C
FRMD4A	FRMD4A
LMBR1L	LMBR1L
ACTR10	ACTR10
GPRC5C	GPRC5C
C19orf80	C19orf80
C20orf24	C20orf24
C19orf10	C19orf10
SMG9	SMG9
PCDHA2	PCDHA2
TEX14	TEX14
TMX4	TMX4
WDR45B	WDR45B
CLDND1	CLDND1
Neuromedin_U_receptor_2	NMUR2
Jim_Kelly_Field	LXN
KIF15	KIF15
CABP4	CABP4
COQ9	COQ9
RARS2	RARS2
ZNFX1	ZNFX1
CAMK1G	CAMK1G
ATP10D	ATP10D
PPM1H	PPM1H
ISY1	ISY1
ZNF608	ZNF608
PDP2	PDP2
HOMEZ	HOMEZ
LRRN1	LRRN1
DDX55	DDX55
Electrogenic_sodium_bicarbonate_cotransporter_4	SLC4A5
SCPEP1	SCPEP1
FASTKD5	FASTKD5
GALNT11	GALNT11
SNX16	SNX16
ELTD1	ELTD1
MS4A6A	MS4A6A
ACTR6	ACTR6
UNKL	UNKL
SMAP2	SMAP2
METTL17	METTL17
EPS8L2	EPS8L2
FNDC4	FNDC4
NT5DC2	NT5DC2
MRPL36	MRPL36
CAMKV	CAMKV
PDCL3	PDCL3
SLC25A23	SLC25A23
CHAC1	CHAC1
SLC52A2	SLC52A2
PARP8	PARP8
MORC4	MORC4
Phosphopantothenate—cysteine_ligase	PPCS
WDR59	WDR59
TEFM	TEFM
ASB13	ASB13
ZNF408	ZNF408
CARF_(gene)	CARF
TTC21B	TTC21B
SPEF2	SPEF2
FAM188A	FAM188A
DGLUCY	C14orf159
FOXRED2	FOXRED2
LRRC8E	LRRC8E
ZNF703	ZNF703
SIKE1	SIKE1
DBF4B	DBF4B
PREX2	PREX2
Cholest-5-ene-3beta,7alpha-diol_3beta-dehydrogenase	HSD3B7
ABTB1	ABTB1
TRAF3IP3	TRAF3IP3
SRCIN1	SRCIN1
DDHD1	DDHD1
KIAA1715	KIAA1715
OR51E2	OR51E2
APOLD1	APOLD1
NIPA2	NIPA2
RNF170	RNF170
QTRT1	QTRT1
SLC25A28	SLC25A28
INO80B	INO80B
GLT8D2	GLT8D2
THAP2	THAP2
NUDT12	NUDT12
TMEM47	TMEM47
HSDL1	HSDL1
H2AFB3	H2AFB3
RASSF4	RASSF4
KATNAL1	KATNAL1
HDHD2	HDHD2
FBXO30	FBXO30
ZIC4	ZIC4
PDCD2L	PDCD2L
CMSS1	CMSS1
ACBD6	ACBD6
ABLIM2	ABLIM2
ZNF512	ZNF512
PHYHIPL	PHYHIPL
TNRC18	TNRC18
TTBK1	TTBK1
USP38	USP38
LOXL3	LOXL3
ZDHHC12	ZDHHC12
TMEM209	TMEM209
RAB2B	RAB2B
ATG4C	ATG4C
MAEL	MAEL
LSM10	LSM10
PNMA6A	PNMA6A
Collagen,_type_XXVII,_alpha_1	COL27A1
SLC22A16	SLC22A16
CEP295	CEP295
EPT1	EPT1
FGD3	FGD3
FCHSD1	FCHSD1
Sialic_acid-binding_Ig-like_lectin_12	SIGLEC12
KBTBD6	KBTBD6
DPH6	DPH6
MLIP_(gene)	MLIP
Collagen,_type_XXIII,_alpha_1	COL23A1
UBXN11	UBXN11
RFT1	RFT1
SNX29	SNX29
GORAB	GORAB
CRB3	CRB3
SPSB4	SPSB4
FAM114A1	FAM114A1
SLC38A5	SLC38A5
REEP6	REEP6
IMP4	IMP4
TJAP1	TJAP1
KRT71	KRT71
HOGA1	HOGA1
PIK3IP1	PIK3IP1
CGB1	CGB1
OSBPL6	OSBPL6
Anion_exchange_transporter	SLC26A7
MALSU1	MALSU1
COX20	COX20
ACSM1	ACSM1
MRPL54	MRPL54
ARAP2	ARAP2
AGAP3	AGAP3
TADA1	TADA1
IKBIP	IKBIP
MRPL52	MRPL52
LRR1	LRR1
12-Sep	12-Sep
C17orf49	C17orf49
MOB3A	MOB3A
FAM213B	FAM213B
OSCP1	OSCP1
EDARADD	EDARADD
XIRP2	XIRP2
ALS2CR12	ALS2CR12
MTERF4	MTERF4
GLYCTK	GLYCTK
Rex1	ZFP42
B3GAT2	B3GAT2
ASB10	ASB10
CLDN23	CLDN23
MYO3B	MYO3B
CHODL	CHODL
Vesicular_inhibitory_amino_acid_transporter	SLC32A1
UBE2F	UBE2F
PABPC5	PABPC5
DNHD1	DNHD1
HNRNPA1L2	HNRNPA1L2
PTGR2	PTGR2
Neuregulin_4	NRG4
ZFP90	ZFP90
WFDC5	WFDC5
CBWD2	CBWD2
PPM1L	PPM1L
Developmental_pluripotency_associated_2	DPPA2
MBOAT1	MBOAT1
TTC39B	TTC39B
CLEC12A	CLEC12A
Oxoeicosanoid_receptor_1	OXER1
UBXN2A	UBXN2A
Indoleamine_2,3-dioxygenase_2	IDO2
QSOX2	QSOX2
ZCCHC12	ZCCHC12
COMMD6	COMMD6
CLYBL	CLYBL
C1orf86	C1orf86
GKN2	GKN2
STRA13	STRA13
TMEM192	TMEM192
RTKN2	RTKN2
AK-9	AK9
OPN5	OPN5
CNOT6L	CNOT6L
CADM2	CADM2
Electron-beam_freeform_fabrication	EBF3
LRRC57	LRRC57
TMIE	TMIE
IL4I1	IL4I1
MAGEA2B	MAGEA2B
NAP1L5	NAP1L5
TTC9C	TTC9C
GPR133	GPR133
HID1	HID1
SLC26A11	SLC26A11
ENDOV	ENDOV
COX18	COX18
DCBLD1	DCBLD1
DDX51	DDX51
ZFP57	ZFP57
LRRTM1	LRRTM1
NMNAT3	NMNAT3
RGSL1	RGSL1
DND1	DND1
GALNT18	GALNT18
NSUN4	NSUN4
TMEM189	TMEM189
TMEM189-UBE2V1	TMEM189-UBE2V1
RBM12B	RBM12B
Mucin_21,_cell_surface_associated	MUC21
YY2	YY2
MIR124-3	MIR124-3
MIR135A1	MIR135A1
MIR16-2	MIR16-2
MIR198	MIR198
MIR219A1	MIR219A1
MIR30C2	MIR30C2
MIR30E	MIR30E
MIR9-2	MIR9-2
MIR92A2	MIR92A2
CCL3L3	CCL3L3
MAP1LC3C	MAP1LC3C
MIR338	MIR338
DFNB59	DFNB59
MIR363	MIR363
UCA1	UCA1
LGALS7B	LGALS7B
GPR89A	GPR89A
MIR663A	MIR663A
RGPD6	RGPD6
MOXD2P	MOXD2P
ACYP1	ACYP1
CRISP1	CRISP1
AMY1B	AMY1B
AMY1C	AMY1C
ASTN1	ASTN1
ATP5G3	ATP5G3
CA11	CA11
CACNG1	CACNG1
CBLN1	CBLN1
CDH18	CDH18
Probable_low_affinity_copper_uptake_protein_2	SLC31A2
COX7C	COX7C
CPA3	CPA3
CRYGA	CRYGA
CTBS	CTBS
DNASE1L2	DNASE1L2
ELAV-like_protein_3	ELAVL3
EMX1	EMX1
FOXF2	FOXF2
FMO4	FMO4
FUT5	FUT5
